98254,50455
98254,51678
98235,51678
98235,52880
97862,52880
97862,54126
98170,54126
98170,55348
98077,55348
98077,56531
97689,56531
97689,57637
96893,57637
96893,58863
96899,58863
96899,60170
97225,60170
97225,61251
96487,61251
96487,62456
96302,62456
96302,63504
95563,63504
95563,64780
95595,64780
95595,66007
95424,66007
95424,67085
94829,67085
94829,68132
94177,68132
94177,69198
93597,69198
93597,70571
93679,70571
93679,71581
92966,71581
92966,72553
92201,72553
92201,73783
91912,73783
91912,74838
91298,74838
91298,75645
90292,75645
90292,76555
89476,76555
89476,77942
89347,77942
89347,78924
88619,78924
88619,79839
87806,79839
87806,80963
87250,80963
87250,81892
86448,81892
86448,82814
85638,82814
85638,83468
84550,83468
84550,84606
83959,84606
83959,85308
82934,85308
82934,85766
81705,85766
81705,86447
80696,86447
80696,87298
79831,87298
79831,88549
79261,88549
79261,89319
78305,89319
78305,89822
77162,89822
77162,89953
75794,89953
75794,90604
74779,90604
74779,91165
73712,91165
73712,92092
72845,92092
72845,93117
72007,93117
72007,92994
70588,92994
70588,94234
69820,94234
69820,94583
68635,94583
68635,95191
67558,95191
67558,95449
66346,95449
66346,95121
64948,95121
64948,95955
63943,95955
63943,96113
62725,96113
62725,96661
61612,96661
61612,97153
60474,97153
60474,96735
59145,96735
59145,97078
57979,97078
57979,97243
56781,97243
56781,97716
55619,97716
55619,97410
54369,97410
54369,98082
53205,98082
53205,98230
51989,98230
51989,97571
50756,97571
50756,97753
49549,97753
49549,98019
48329,98019
48329,98099
47105,98099
47105,97844
45901,97844
45901,97294
44739,97294
44739,97476
43497,97476
43497,97825
42210,97825
42210,97423
41037,97423
41037,97367
39798,97367
39798,96775
38679,96775
38679,96167
37580,96167
37580,96134
36326,96134
36326,95543
35237,95543
35237,95144
34091,95144
34091,94615
32995,94615
32995,94781
31619,94781
31619,93974
30635,93974
30635,93797
29373,93797
29373,92636
28584,92636
28584,92671
27194,92671
27194,92034
26147,92034
26147,90801
25459,90801
25459,90403
24283,90403
24283,89917
23147,89917
23147,89500
21949,89500
21949,88206
21385,88206
21385,87650
20283,87650
20283,86800
19410,86800
19410,85754
18715,85754
18715,85603
17217,85603
17217,84345
16729,84345
16729,83501
15859,83501
15859,82837
14795,82837
14795,81579
14375,81579
14375,80822
13402,80822
13402,80184
12259,80184
12259,78795
12065,78795
12065,77809
11369,77809
11369,77030
10371,77030
10371,76106
9562,76106
9562,74790
9377,74790
9377,73793
8693,73793
8693,72892
7821,72892
7821,72017
6862,72017
6862,70764
6637,70764
6637,69545
6379,69545
6379,68704
5252,68704
5252,67545
4843,67545
4843,66140
5123,66140
5123,65191
4145,65191
4145,64074
3611,64074
3611,62801
3608,62801
3608,61472
3901,61472
3901,60474
2846,60474
2846,59212
2920,59212
2920,57954
3073,57954
3073,56822
2471,56822
2471,55634
2160,55634
2160,54435
1875,54435
1875,53198
2015,53198
2015,51969
2257,51969
2257,50758
