Card   1: 36 15 12 91 47 98 59 46 83 86 | 86 34 88  7 36 82 90 32 83 56 27 45 49 69 91 47 98 59 13 15 68 12 17 11 46
Card   2: 55 82  6 50 62  4 21 96 14 39 | 11 34 14 52  7 28 13 81 10 98 88 48 21 22 96  1 93 83 85 60 76 87 57 56 62
Card   3: 11 88 40  9  7 37 92 15 70 53 | 55 37 97 22 77 34 83 98  1 92 38  5 69 54 25 73 13 94 62 96 78 93 75 23 31
Card   4: 83 15  5  4  3 92 86  2 91 58 | 58  2 77 32 93 64 37 82 47 28 13 89 16 24 59 76 52 50 55 15 14 68 61 91 98
Card   5: 59 25  2 83 13 26 39 45 28 74 | 29 46 37 81 25 39  4  1  2 64 52 70 57 32 62 95 74  7 33 78 59 92 56  3 26
Card   6: 42 94 58 49 24 26 89 77 83 66 | 88  7 54 27 89 46 57 22 97 69 65 36 13 32 11 12 31 62 35 98  4 23 79 18 85
Card   7: 25  9 48 40 69 82 75 78 73 18 | 54 48 73 91 30 65 42 85 88 18 40 69 23 82 58 49 75 43 35 47 46 80 78  9 32
Card   8: 21 77 46 67 93 59 81 74 85 38 | 45 37 87 59 68 85 99  9 74 21 98 52 67 81  8 27 77 83 33 18 60 11 58 25 46
Card   9:  9 57 53  7 22 40  8 96 38 37 |  7 52 53 49 51 69 45 80 71  1 39 62  9 93 27 38 43 57 79 25 77 17 48 65 98
Card  10: 33 54 80 15 81 44 62 41 82 55 | 43 37 18 29 17  6 91 35 70 72 97 73 75 83 74 16 40 33 19 28 56 25 32 24 52
Card  11: 17 84 52 51 47 16 18  1 82 55 | 74 55 91 48 29 94 32 54 20 43 23 81 14 65 98 38 27 46 62 87 56 66 40 34 88
Card  12: 64 84 36 81 75  9 68 88 54 66 |  2 63 55 97 91 67 26 15 27  6 99 19 86 24 89 25 30 37 95 33 78 28 49 44  5
Card  13: 24 25 76 80  4 34 22 11 30 31 | 60 93 13 33 82 19 97 26  5 87 49 59 15 74 62 92 78  1 85 14 48 27 39 71 32
Card  14: 43 21  4 55 23 41 19 88 34 27 | 52 96 61 83 39 35 44 50 63 29 84 19 75 38  7 68 20 18 94 79 45 74 53 76 55
